Quarter,Time,Tm,Detail,PHI,DEN
1.0,10:19,Broncos,Wes Welker 6 yard pass from Peyton Manning (Matt Prater kick),0,7
,6:03,Eagles,Alex Henery 35 yard field goal,3,7
,5:50,Broncos,Trindon Holliday 105 yard kickoff return (Matt Prater kick),3,14
2.0,14:18,Eagles,Alex Henery 25 yard field goal,6,14
,11:06,Eagles,Chris Polk 4 yard rush (Alex Henery kick),13,14
,5:05,Broncos,Knowshon Moreno 4 yard rush (Matt Prater kick),13,21
3.0,9:54,Broncos,Demaryius Thomas 1 yard pass from Peyton Manning (Matt Prater kick),13,28
,5:10,Broncos,Demaryius Thomas 15 yard pass from Peyton Manning (Matt Prater kick),13,35
,0:22,Broncos,Wes Welker 4 yard pass from Peyton Manning (Matt Prater kick),13,42
4.0,13:54,Broncos,Steven Johnson 17 yard blocked punt return (Matt Prater kick),13,49
,6:53,Broncos,Matt Prater 53 yard field goal,13,52
,4:35,Eagles,Jeff Maehl 6 yard pass from Nick Foles (Alex Henery kick),20,52
