Quarter,Time,Tm,Detail,CAR,NOR
1.0,8:55,Saints,Coby Fleener 2 yard rush (Wil Lutz kick),0,7
,2:31,Saints,Brandin Cooks 87 yard pass from Drew Brees (Wil Lutz kick),0,14
2.0,13:47,Saints,Michael Thomas 9 yard pass from Drew Brees (Wil Lutz kick),0,21
,3:02,Panthers,Graham Gano 42 yard field goal,3,21
,1:15,Panthers,Devin Funchess 17 yard pass from Cam Newton (Graham Gano kick),10,21
,0:10,Saints,Wil Lutz 33 yard field goal,10,24
3.0,6:49,Panthers,Ed Dickson 1 yard pass from Cam Newton (Graham Gano kick),17,24
,4:56,Saints,Coby Fleener 50 yard pass from Drew Brees (Wil Lutz kick),17,31
4.0,14:49,Panthers,Jonathan Stewart 2 yard rush (Graham Gano kick),24,31
,9:38,Panthers,Jonathan Stewart 1 yard rush (Graham Gano kick failed),30,31
,6:02,Saints,Josh Hill 8 yard pass from Drew Brees (Wil Lutz kick),30,38
,2:58,Panthers,Cam Newton 2 yard rush (Devin Funchess pass from Cam Newton),38,38
,0:11,Saints,Wil Lutz 52 yard field goal,38,41
