Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Laquon Treadwell,JAX,6,6,87,0,3,76,12.7,11,1.8,12.7,0,,0,0.0,0,118.7
Tavon Austin,JAX,4,3,2,0,,-1,-0.3,3,1.0,0.5,0,,0,0.0,1,37.5
Marvin Jones,JAX,6,2,46,0,2,40,20.0,6,3.0,12.7,0,,0,0.0,1,22.2
Dare Ogunbowale,JAX,2,2,32,1,1,-7,-3.5,39,19.5,-3.5,0,,0,0.0,0,158.3
Laviska Shenault Jr.,JAX,3,2,13,0,1,2,1.0,11,5.5,1.7,0,,0,0.0,0,75.7
Ryquell Armstead,JAX,2,1,6,0,1,3,3.0,3,3.0,3.5,0,,0,0.0,1,16.7
Luke Farrell,JAX,2,1,7,0,,0,0.0,7,7.0,2.5,0,,0,0.0,0,58.3
Chris Manhertz,JAX,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jakobi Meyers,NWE,8,8,73,1,4,60,7.5,13,1.6,7.5,0,,0,0.0,0,144.3
Kendrick Bourne,NWE,6,5,76,0,2,14,2.8,62,12.4,3.2,1,5.0,0,0.0,0,118.7
Kristian Wilkerson,NWE,8,4,42,2,2,37,9.3,5,1.3,16.5,1,4.0,1,12.5,0,105.2
Hunter Henry,NWE,5,3,37,0,3,27,9.0,10,3.3,8.8,0,,0,0.0,0,82.9
Brandon Bolden,NWE,3,2,21,0,2,-3,-1.5,24,12.0,-2.0,0,,1,33.3,0,86.8
Damien Harris,NWE,1,1,12,0,0,-3,-3.0,15,15.0,-3.0,0,,0,0.0,0,116.7
Gunner Olszewski,NWE,1,1,9,0,1,4,4.0,5,5.0,4.0,0,,0,0.0,0,104.2
Jonnu Smith,NWE,1,1,20,0,1,-3,-3.0,23,23.0,-3.0,0,,0,0.0,0,118.7
