Quarter,Time,Tm,Detail,PIT,NWE
1.0,4:00,Patriots,Danny Amendola 34 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
2.0,10:30,Patriots,Rob Gronkowski 19 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
,7:36,Steelers,Shaun Suisham 30 yard field goal,3,14
,3:51,Patriots,Stephen Gostkowski 20 yard field goal,3,17
,1:55,Steelers,Antonio Brown 27 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,17
,0:10,Patriots,Stevan Ridley 1 yard rush (Stephen Gostkowski kick),10,24
3.0,11:02,Steelers,Jerricho Cotchery 20 yard pass from Ben Roethlisberger (Shaun Suisham kick),17,24
,7:10,Steelers,Jerricho Cotchery 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,24
,2:39,Patriots,Stephen Gostkowski 32 yard field goal,24,27
4.0,13:46,Patriots,Aaron Dobson 17 yard pass from Tom Brady (Stephen Gostkowski kick),24,34
,9:16,Patriots,Stevan Ridley 5 yard rush (Stephen Gostkowski kick),24,41
,6:15,Steelers,Jerricho Cotchery 6 yard pass from Ben Roethlisberger (Shaun Suisham kick),31,41
,5:15,Patriots,Aaron Dobson 81 yard pass from Tom Brady (Stephen Gostkowski kick),31,48
,2:41,Patriots,LeGarrette Blount 5 yard rush (Stephen Gostkowski kick),31,55
