Quarter,Time,Tm,Detail,NYJ,MIA
1.0,8:26,Jets,Nick Folk 23 yard field goal,3,0
,4:56,Dolphins,Jay Ajayi 20 yard rush (Andrew Franks kick),3,7
,0:35,Jets,Matt Forte 31 yard rush (Nick Folk kick),10,7
2.0,10:16,Dolphins,Dominique Jones 1 yard pass from Ryan Tannehill (Andrew Franks kick),10,14
,5:20,Jets,Nick Folk 21 yard field goal,13,14
3.0,5:08,Dolphins,Andrew Franks 33 yard field goal,13,17
,3:22,Dolphins,Andrew Franks 29 yard field goal,13,20
4.0,12:50,Jets,Nick Folk 28 yard field goal,16,20
,5:42,Jets,Jalin Marshall 18 yard pass from Ryan Fitzpatrick (Nick Folk kick),23,20
,5:15,Dolphins,Kenyan Drake 96 yard kickoff return (Andrew Franks kick),23,27
