Quarter,Time,Tm,Detail,SEA,GNB
1.0,14:40,Seahawks,Shaun Alexander 1 yard rush (Josh Brown kick),7,0
,10:59,Seahawks,Bobby Engram 11 yard pass from Matt Hasselbeck (Josh Brown kick),14,0
,7:08,Packers,Greg Jennings 15 yard pass from Brett Favre (Mason Crosby kick),14,7
,1:02,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),14,14
2.0,13:22,Packers,Greg Jennings 2 yard pass from Brett Favre (Mason Crosby kick),14,21
,7:18,Seahawks,Josh Brown 29 yard field goal,17,21
,0:26,Packers,Ryan Grant 3 yard rush (Mason Crosby kick),17,28
3.0,10:25,Packers,Brandon Jackson 13 yard pass from Brett Favre (Mason Crosby kick),17,35
,2:46,Seahawks,Josh Brown 27 yard field goal,20,35
4.0,13:26,Packers,Ryan Grant 1 yard rush (Mason Crosby kick),20,42
