Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Courtland Sutton,DEN,11,7,120,1,5,110,15.7,10,1.4,13.7,0,,1,9.1,1,93.0
Tim Patrick,DEN,9,7,89,0,5,60,8.6,29,4.1,7.9,0,,0,0.0,0,107.9
Javonte Williams,DEN,3,3,25,0,1,7,2.3,18,6.0,2.3,0,,0,0.0,0,101.4
Noah Fant,DEN,4,3,20,0,,16,5.3,4,1.3,5.0,0,,1,25.0,0,85.4
Melvin Gordon,DEN,2,2,9,0,1,9,4.5,0,0.0,4.5,0,,0,0.0,0,85.4
Kendall Hinton,DEN,3,2,25,1,2,23,11.5,2,1.0,7.7,0,,0,0.0,0,131.9
Diontae Spencer,DEN,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
David Moore,DEN,2,0,0,0,,0,,0,,14.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Chase Claypool,PIT,6,5,130,1,5,49,9.8,81,16.2,12.5,1,5.0,0,0.0,0,158.3
Diontae Johnson,PIT,2,2,72,1,2,39,19.5,33,16.5,19.5,0,,0,0.0,0,158.3
Najee Harris,PIT,5,2,20,0,1,4,2.0,16,8.0,2.6,0,,0,0.0,0,52.1
Pat Freiermuth,PIT,2,2,7,0,2,7,3.5,0,0.0,3.5,0,,0,0.0,0,81.2
Eric Ebron,PIT,2,2,10,0,1,8,4.0,2,1.0,4.0,0,,0,0.0,0,87.5
Ray-Ray McCloud,PIT,2,1,1,0,,0,0.0,1,1.0,11.5,0,,0,0.0,0,56.2
Zach Gentry,PIT,2,1,13,0,1,-4,-4.0,17,17.0,-2.0,0,,0,0.0,0,70.8
JuJu Smith-Schuster,PIT,1,0,0,0,,0,,0,,11.0,0,,0,0.0,0,39.6
Benny Snell Jr.,PIT,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
Cody White,PIT,1,0,0,0,,0,,0,,19.0,0,,1,100.0,0,39.6
Kalen Ballage,PIT,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6
