Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Drew Brees,NOR,29,35,288,2,0,1,5,38,120.0,1,-2,0,-2,0,0,0,0,,0,0
Pierre Thomas,NOR,0,0,0,0,0,0,0,,,19,36,0,9,9,9,55,2,25,1,0
Jed Collins,NOR,0,0,0,0,0,0,0,,,3,11,0,5,4,4,17,0,8,0,0
Darren Sproles,NOR,0,0,0,0,0,0,0,,,3,10,0,5,3,3,31,0,19,0,0
Khiry Robinson,NOR,0,0,0,0,0,0,0,,,3,9,0,8,0,0,0,0,,0,0
Jimmy Graham,NOR,0,0,0,0,0,0,0,,,0,0,0,,11,10,135,0,38,0,0
Nick Toon,NOR,0,0,0,0,0,0,0,,,0,0,0,,1,1,35,0,35,0,0
Marques Colston,NOR,0,0,0,0,0,0,0,,,0,0,0,,2,2,15,0,9,0,0
Ben Watson,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Robert Meachem,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kenny Stills,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Jay Cutler,CHI,24,33,358,2,0,3,18,58,128.1,4,27,0,12,0,0,0,0,,2,1
Matt Forte,CHI,0,0,0,0,0,0,0,,,12,55,0,14,6,4,40,0,15,0,0
Michael Bush,CHI,0,0,0,0,0,0,0,,,2,12,0,7,0,0,0,0,,0,0
Alshon Jeffery,CHI,0,0,0,0,0,0,0,,,0,0,0,,13,10,218,1,58,0,0
Martellus Bennett,CHI,0,0,0,0,0,0,0,,,0,0,0,,5,5,56,0,18,0,0
Brandon Marshall,CHI,0,0,0,0,0,0,0,,,0,0,0,,5,4,30,1,12,0,0
Earl Bennett,CHI,0,0,0,0,0,0,0,,,0,0,0,,3,1,14,0,14,0,0
Dante Rosario,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
