Quarter,Time,Tm,Detail,NOR,LAR
1.0,10:53,Rams,Sammy Watkins 5 yard pass from Jared Goff (Greg Zuerlein kick),0,7
,3:02,Rams,Greg Zuerlein 50 yard field goal,0,10
,2:14,Saints,Alvin Kamara 74 yard rush (Wil Lutz kick),7,10
2.0,4:22,Rams,Josh Reynolds 7 yard pass from Jared Goff (Greg Zuerlein kick),7,17
,0:58,Saints,Wil Lutz 50 yard field goal,10,17
3.0,3:37,Rams,Greg Zuerlein 46 yard field goal,10,20
4.0,14:11,Rams,Greg Zuerlein 49 yard field goal,10,23
,10:05,Saints,Wil Lutz 21 yard field goal,13,23
,2:27,Rams,Greg Zuerlein 26 yard field goal,13,26
,1:45,Saints,Alvin Kamara 15 yard pass from Drew Brees (Wil Lutz kick),20,26
