Quarter,Time,Tm,Detail,DET,DAL
1.0,4:30,Cowboys,Brett Maher 32 yard field goal,0,3
,0:19,Lions,Golden Tate 45 yard pass from Matthew Stafford (Matt Prater kick),7,3
2.0,11:01,Cowboys,Brett Maher 43 yard field goal,7,6
,2:50,Lions,Matt Prater 33 yard field goal,10,6
,1:39,Cowboys,Ezekiel Elliott 38 yard pass from Dak Prescott (Brett Maher kick),10,13
3.0,2:59,Cowboys,Geoff Swaim 1 yard pass from Dak Prescott (Brett Maher kick),10,20
4.0,14:20,Lions,Kerryon Johnson 8 yard rush (Matt Prater kick),17,20
,5:49,Cowboys,Brett Maher 22 yard field goal,17,23
,2:17,Lions,Golden Tate 38 yard pass from Matthew Stafford (Matt Prater kick),24,23
,0:00,Cowboys,Brett Maher 38 yard field goal,24,26
