Quarter,Time,Tm,Detail,WAS,DAL
1.0,9:17,Cowboys,Dan Bailey 30 yard field goal,0,3
2.0,13:47,Redskins,Aldrick Robinson 68 yard pass from Robert Griffin III (Kai Forbath kick),7,3
,7:00,Redskins,Alfred Morris 1 yard rush (Kai Forbath kick),14,3
,2:14,Redskins,Pierre Garcon 59 yard pass from Robert Griffin III (Kai Forbath kick),21,3
,0:05,Redskins,Santana Moss 6 yard pass from Robert Griffin III (Kai Forbath kick),28,3
3.0,11:48,Cowboys,Dan Bailey 33 yard field goal,28,6
,1:24,Cowboys,Dez Bryant 85 yard pass from Tony Romo (Dan Bailey kick),28,13
4.0,12:48,Redskins,Niles Paul 29 yard pass from Robert Griffin III (Kai Forbath kick),35,13
,9:54,Cowboys,Felix Jones 10 yard pass from Tony Romo (Tony Romo run),35,21
,8:18,Cowboys,Dez Bryant 11 yard pass from Tony Romo (Dan Bailey kick),35,28
,2:58,Redskins,Kai Forbath 48 yard field goal,38,28
,0:18,Cowboys,Dan Bailey 51 yard field goal,38,31
