Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Devin White,TAM,0,6,6,100.0%,61,10.2,10.2,0,109.0,4.5,27,34,8,1,1,0.0,2,10,0,0.0%
Sean Murphy-Bunting,TAM,0,6,5,83.3%,47,9.4,7.8,0,99.3,2.3,9,38,3,0,0,0.0,0,6,0,0.0%
Antoine Winfield Jr.,TAM,0,5,4,80.0%,33,8.3,6.6,0,94.2,6.4,23,10,1,0,0,0.0,0,10,3,23.1%
Pierre Desir,TAM,0,4,4,100.0%,47,11.8,11.8,0,115.6,9.0,36,11,0,0,0,0.0,0,4,0,0.0%
Carlton Davis,TAM,0,9,4,44.4%,70,17.5,7.8,0,71.5,13.8,50,20,0,0,0,0.0,0,3,2,40.0%
Lavonte David,TAM,0,4,4,100.0%,28,7.0,7.0,0,95.8,1.3,5,23,1,0,0,0.0,0,6,2,25.0%
Shaquil Barrett,TAM,0,1,1,100.0%,2,2.0,2.0,0,79.2,2.0,2,0,6,0,1,0.0,1,3,1,25.0%
Jamel Dean,TAM,0,3,1,33.3%,0,0.0,0.0,0,42.4,0.7,-2,2,0,0,0,0.0,0,1,1,50.0%
Andrew Adams,TAM,0,2,1,50.0%,6,6.0,3.0,0,56.2,4.0,1,5,3,0,0,0.0,0,6,1,14.3%
Ross Cockrell,TAM,0,1,1,100.0%,10,10.0,10.0,0,108.3,6.0,6,4,1,0,0,0.0,0,3,0,0.0%
Vita Vea,TAM,0,0,0,,,,,,,,,,0,0,1,2.0,3,2,0,0.0%
William Gholston,TAM,0,0,0,,,,,,,,,,0,0,2,0.0,2,6,0,0.0%
Ndamukong Suh,TAM,0,0,0,,,,,,,,,,0,0,0,2.0,2,4,0,0.0%
Cam Gill,TAM,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Joe Tryon-Shoyinka,TAM,0,0,0,,,,,,,,,,2,1,0,0.0,1,2,1,33.3%
Jason Pierre-Paul,TAM,0,0,0,,,,,,,,,,5,1,0,0.0,1,2,1,33.3%
Anthony Nelson,TAM,0,0,0,,,,,,,,,,0,0,1,0.0,1,0,0,
Kevin Minter,TAM,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Darren Hall,ATL,0,10,9,90.0%,58,6.4,5.8,0,90.8,1.8,9,49,4,0,0,0.0,0,5,0,0.0%
Foyesade Oluokun,ATL,0,7,7,100.0%,47,6.7,6.7,0,94.6,3.6,25,22,4,0,0,0.0,0,15,0,0.0%
Fabian Moreau,ATL,0,7,5,71.4%,45,9.0,6.4,0,88.4,7.3,32,13,2,0,0,0.0,0,6,0,0.0%
Deion Jones,ATL,0,8,5,62.5%,31,6.2,3.9,2,109.9,5.1,21,10,3,0,0,0.0,0,8,0,0.0%
Duron Harmon,ATL,0,5,4,80.0%,30,7.5,6.0,1,131.2,7.6,18,12,2,0,0,0.0,0,3,0,0.0%
Adetokunbo Ogundeji,ATL,0,2,2,100.0%,25,12.5,12.5,0,118.7,7.5,15,10,1,1,0,0.0,1,1,0,0.0%
AJ Terrell,ATL,0,5,2,40.0%,42,21.0,8.4,0,70.4,17.4,40,2,0,0,0,0.0,0,3,0,0.0%
Richie Grant,ATL,0,3,2,66.7%,32,16.0,10.7,0,102.1,8.0,19,13,3,0,0,0.0,0,3,0,0.0%
Avery Williams,ATL,0,2,2,100.0%,8,4.0,4.0,0,83.3,0.0,0,8,0,0,0,0.0,0,4,0,0.0%
Jaylinn Hawkins,ATL,0,1,1,100.0%,27,27.0,27.0,1,158.3,10.0,10,17,0,0,0,0.0,0,0,0,
Erik Harris,ATL,0,2,1,50.0%,11,11.0,5.5,1,106.2,9.5,11,0,1,0,0,0.0,0,2,0,0.0%
Grady Jarrett,ATL,0,0,0,,,,,,,,,,0,0,1,0.0,1,4,0,0.0%
Steven Means,ATL,0,0,0,,,,,,,,,,3,0,0,0.0,0,5,0,0.0%
Dante Fowler,ATL,0,0,0,,,,,,,,,,3,0,0,0.0,0,2,0,0.0%
Mykal Walker,ATL,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Brandon Copeland,ATL,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,0,0.0%
Marlon Davidson,ATL,1,1,0,0.0%,,,0.0,,0.0,-5.0,,,0,0,0,0.0,0,0,0,
