Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Dak Prescott,DAL,21,27,247,3,0,0,0,35,141.8,4,20,0,13,0,0,0,0,,0,0
Mark Sanchez,DAL,1,1,8,0,0,0,0,8,100.0,2,-2,0,-1,0,0,0,0,,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,,,18,92,2,15,1,1,5,0,5,1,0
Alfred Morris,DAL,0,0,0,0,0,0,0,,,17,56,0,13,0,0,0,0,,0,0
Lucky Whitehead,DAL,0,0,0,0,0,0,0,,,1,2,0,2,0,0,0,0,,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,,,0,0,0,,10,8,134,1,35,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,,,0,0,0,,6,6,56,1,18,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,,,0,0,0,,4,1,19,0,19,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,,,0,0,0,,3,2,19,0,15,0,0
Geoff Swaim,DAL,0,0,0,0,0,0,0,,,0,0,0,,2,2,11,0,8,0,0
Brice Butler,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,9,0,9,0,0
Gavin Escobar,DAL,0,0,0,0,0,0,0,,,0,0,0,,1,1,2,1,2,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Cody Kessler,CLE,19,27,203,1,0,4,26,44,104.4,2,11,0,8,0,0,0,0,,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,,,5,30,0,9,2,2,16,0,9,0,0
Isaiah Crowell,CLE,0,0,0,0,0,0,0,,,6,4,0,8,4,4,63,0,44,0,0
Terrelle Pryor,CLE,0,0,0,0,0,0,0,,,0,0,0,,7,5,47,1,16,0,0
Corey Coleman,CLE,0,0,0,0,0,0,0,,,0,0,0,,7,3,41,0,18,0,0
Gary Barnidge,CLE,0,0,0,0,0,0,0,,,0,0,0,,3,3,23,0,9,0,0
Andrew Hawkins,CLE,0,0,0,0,0,0,0,,,0,0,0,,4,2,13,0,9,0,0
