Quarter,Time,Tm,Detail,STL,DET
1.0,13:44,Lions,Jason Hanson 30 yard field goal,0,3
,0:00,Rams,Josh Brown 28 yard field goal,3,3
2.0,14:46,Lions,Stefan Logan 105 yard kickoff return (Jason Hanson kick),3,10
,6:14,Lions,Calvin Johnson 1 yard pass from Shaun Hill (Jason Hanson kick),3,17
,1:37,Rams,Josh Brown 28 yard field goal,6,17
,0:10,Lions,Brandon Pettigrew 3 yard pass from Shaun Hill (Jason Hanson kick),6,24
3.0,10:54,Lions,Nate Burleson 26 yard pass from Shaun Hill (Jason Hanson kick),6,31
4.0,11:18,Lions,Jason Hanson 48 yard field goal,6,34
,7:50,Lions,Jason Hanson 47 yard field goal,6,37
,7:06,Lions,Alphonso Smith 42 yard interception return (Jason Hanson kick),6,44
