Quarter,Time,Tm,Detail,NYG,STL
1.0,6:11,Giants,Plaxico Burress 33 yard pass from Eli Manning (John Carney kick),7,0
2.0,14:13,Rams,Josh Brown 54 yard field goal,7,3
,8:14,Giants,John Carney 39 yard field goal,10,3
,1:55,Rams,Josh Brown 54 yard field goal,10,6
,0:02,Giants,John Carney 33 yard field goal,13,6
3.0,8:48,Giants,Amani Toomer 10 yard pass from Eli Manning (John Carney kick),20,6
4.0,10:46,Rams,Torry Holt 45 yard pass from Marc Bulger (Josh Brown kick),20,13
,7:18,Giants,Ahmad Bradshaw 18 yard pass from Eli Manning (John Carney kick),27,13
,5:30,Giants,Justin Tuck 41 yard interception return (John Carney kick),34,13
,3:23,Giants,Ahmad Bradshaw 31 yard rush (John Carney kick),41,13
