Quarter,Time,Tm,Detail,TAM,DEN
1.0,8:47,Broncos,Mitch Unrein 1 yard pass from Peyton Manning (Matt Prater kick),0,7
,4:41,Buccaneers,Connor Barth 31 yard field goal,3,7
,0:14,Buccaneers,Dallas Clark 11 yard pass from Josh Freeman (Connor Barth kick),10,7
3.0,9:21,Broncos,Demaryius Thomas 8 yard pass from Peyton Manning (Matt Prater kick),10,14
,4:39,Broncos,Demaryius Thomas 10 yard pass from Peyton Manning (Matt Prater kick),10,21
,3:56,Broncos,Von Miller 26 yard interception return (Matt Prater kick),10,28
4.0,14:55,Buccaneers,Connor Barth 50 yard field goal,13,28
,7:36,Broncos,Matt Prater 31 yard field goal,13,31
,3:23,Buccaneers,Connor Barth 55 yard field goal,16,31
,2:33,Buccaneers,Mike Williams 5 yard pass from Josh Freeman (Connor Barth kick),23,31
