Quarter,Time,Tm,Detail,IND,PHI
1.0,13:14,Eagles,DeSean Jackson 9 yard pass from Michael Vick (David Akers kick),0,7
,11:23,Eagles,David Akers 22 yard field goal,0,10
,2:11,Eagles,David Akers 21 yard field goal,0,13
2.0,11:58,Colts,Jacob Tamme 3 yard pass from Peyton Manning (Adam Vinatieri kick),7,13
,6:25,Eagles,David Akers 31 yard field goal,7,16
,1:58,Colts,Javarris James 6 yard rush (Adam Vinatieri kick),14,16
,0:03,Colts,Adam Vinatieri 37 yard field goal,17,16
3.0,7:28,Eagles,David Akers 44 yard field goal,17,19
4.0,13:47,Eagles,Michael Vick 1 yard rush (David Akers kick),17,26
,1:50,Colts,Javarris James 1 yard rush (Adam Vinatieri kick),24,26
