Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Christian Watson,GNB,7,5,94,1,3,86,17.2,8,1.6,20.0,0,,0,0.0,0,153.3
Jayden Reed,GNB,8,4,34,1,3,20,5.0,14,3.5,8.0,0,,1,12.5,0,101.0
Malik Heath,GNB,4,4,46,0,2,41,10.3,5,1.3,10.3,0,,0,0.0,0,114.6
Romeo Doubs,GNB,4,3,37,0,2,35,11.7,2,0.7,9.5,0,,1,25.0,0,103.1
AJ Dillon,GNB,3,3,38,0,2,7,2.3,31,10.3,2.3,1,3.0,0,0.0,0,118.7
Tucker Kraft,GNB,2,2,15,1,1,6,3.0,9,4.5,3.0,0,,0,0.0,0,137.5
Patrick Taylor,GNB,1,1,4,0,,1,1.0,3,3.0,1.0,0,,0,0.0,0,83.3
Ben Sims,GNB,1,0,0,0,,0,,0,,-1.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amon-Ra St. Brown,DET,11,9,95,0,5,53,5.9,42,4.7,8.8,0,,0,0.0,0,102.7
Sam LaPorta,DET,8,5,47,1,2,29,5.8,18,3.6,8.0,1,5.0,1,12.5,0,118.2
Kalif Raymond,DET,5,5,90,0,5,52,10.4,38,7.6,10.4,0,,0,0.0,0,118.7
Jahmyr Gibbs,DET,8,4,19,0,1,7,1.8,12,3.0,1.9,0,,0,0.0,0,56.2
Josh Reynolds,DET,4,2,15,1,1,15,7.5,0,0.0,3.3,0,,1,25.0,0,99.0
Jameson Williams,DET,3,2,51,0,2,14,7.0,37,18.5,16.7,1,2.0,0,0.0,0,109.7
Malcolm Rodriguez,DET,1,1,6,0,1,6,6.0,0,0.0,6.0,0,,0,0.0,0,91.7
Brock Wright,DET,1,1,9,0,,5,5.0,4,4.0,5.0,0,,0,0.0,0,104.2
David Montgomery,DET,1,0,0,0,0,0,,0,,0.0,0,,0,0.0,0,39.6
