Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Leonard Fournette,TAM,21,63,0,7,26,1.2,37,1.8,1,21.0
Rachaad White,TAM,4,12,0,0,4,1.0,8,2.0,1,4.0
Tom Brady,TAM,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Najee Harris,PIT,14,42,0,1,15,1.1,27,1.9,3,4.7
Mitchell Trubisky,PIT,6,5,0,1,-5,-0.8,10,1.7,1,6.0
Diontae Johnson,PIT,2,8,0,0,4,2.0,4,2.0,0,
Kenny Pickett,PIT,2,16,0,0,8,4.0,8,4.0,0,
Jaylen Warren,PIT,2,2,0,1,0,0.0,2,1.0,0,
Chase Claypool,PIT,1,8,0,0,6,6.0,2,2.0,0,
George Pickens,PIT,1,1,0,0,1,1.0,0,0.0,0,
Steven Sims,PIT,1,-5,0,,-5,-5.0,0,0.0,0,
