Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Tyrod Taylor,BUF,10,17,109,1,0,4,31,46,97.4,8,76,1,26,1,1,4,0,4,0,0
Chris Hogan,BUF,1,1,4,0,0,0,0,4,83.3,0,0,0,,3,3,52,1,46,0,0
Dan Herron,BUF,0,0,0,0,0,0,0,,,9,28,0,8,0,0,0,0,,1,0
Anthony Dixon,BUF,0,0,0,0,0,0,0,,,7,19,0,6,3,3,20,0,9,0,0
Cierre Wood,BUF,0,0,0,0,0,0,0,0,,2,3,0,3,0,0,0,0,0,0,0
Jerome Felton,BUF,0,0,0,0,0,0,0,,,1,2,0,2,0,0,0,0,,0,0
Marquise Goodwin,BUF,0,0,0,0,0,0,0,,,0,0,0,,2,2,24,0,14,0,0
Charles Clay,BUF,0,0,0,0,0,0,0,,,0,0,0,,3,1,7,0,7,0,0
Robert Woods,BUF,0,0,0,0,0,0,0,,,0,0,0,,2,1,6,0,6,0,0
Percy Harvin,BUF,0,0,0,0,0,0,0,,,1,-1,0,-1,4,0,0,0,,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Marcus Mariota,TEN,21,32,187,0,1,2,8,23,68.1,5,47,0,22,0,0,0,0,,0,0
Bishop Sankey,TEN,0,0,0,0,0,0,0,,,7,20,0,9,3,3,23,0,12,0,0
Dexter McCluster,TEN,0,0,0,0,0,0,0,,,8,20,0,8,1,1,-2,0,-2,0,0
Antonio Andrews,TEN,0,0,0,0,0,0,0,,,7,9,1,5,4,3,45,0,23,0,0
Kendall Wright,TEN,0,0,0,0,0,0,0,,,1,1,0,1,6,3,29,0,17,0,0
Justin Hunter,TEN,0,0,0,0,0,0,0,,,0,0,0,,6,4,38,0,14,0,0
Delanie Walker,TEN,0,0,0,0,0,0,0,,,0,0,0,,6,4,36,0,16,0,0
Harry Douglas,TEN,0,0,0,0,0,0,0,,,0,0,0,,3,2,17,0,11,0,0
Craig Stevens,TEN,0,0,0,0,0,0,0,,,0,0,0,,2,1,1,0,1,0,0
Anthony Fasano,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
