Quarter,Time,Tm,Detail,DET,TEN
1,11:38,Lions,Jason Hanson 47 yard field goal,3,0
,6:36,Lions,Jason Hanson 53 yard field goal,6,0
,2:02,Titans,Rob Bironas 31 yard field goal,6,3
,0:33,Titans,Tommie Campbell 65 yard punt return (Rob Bironas kick),6,10
2,13:00,Titans,Jared Cook 61 yard pass from Jake Locker (Rob Bironas kick),6,17
,6:30,Lions,Jason Hanson 33 yard field goal,9,17
,0:00,Titans,Rob Bironas 38 yard field goal,9,20
3,6:36,Lions,Mikel Leshoure 1 yard rush (Jason Hanson kick),16,20
4,12:39,Lions,Jason Hanson 26 yard field goal,19,20
,6:53,Lions,Nate Burleson 3 yard pass from Matthew Stafford (Nate Burleson pass from Matthew Stafford),27,20
,6:41,Titans,Darius Reynaud 105 yard kickoff return (Rob Bironas kick),27,27
,3:11,Titans,Nate Washington 71 yard pass from Jake Locker (Rob Bironas kick),27,34
,1:16,Titans,Alterraun Verner 72 yard defensive fumble return (Rob Bironas kick),27,41
,0:18,Lions,Calvin Johnson 3 yard pass from Shaun Hill (Jason Hanson kick),34,41
,0:00,Lions,Titus Young 46 yard pass from Shaun Hill (Jason Hanson kick),41,41
OT,10:36,Titans,Rob Bironas 26 yard field goal,41,44
