Quarter,Time,Tm,Detail,NYG,GNB
1.0,8:33,Giants,Lawrence Tynes 31 yard field goal,3,0
,5:33,Packers,Mason Crosby 47 yard field goal,3,3
,3:47,Giants,Hakeem Nicks 66 yard pass from Eli Manning (Lawrence Tynes kick),10,3
2.0,14:54,Packers,John Kuhn 8 yard pass from Aaron Rodgers (Mason Crosby kick),10,10
,1:51,Giants,Lawrence Tynes 23 yard field goal,13,10
,0:00,Giants,Hakeem Nicks 37 yard pass from Eli Manning (Lawrence Tynes kick),20,10
3.0,3:50,Packers,Mason Crosby 35 yard field goal,20,13
4.0,7:48,Giants,Lawrence Tynes 35 yard field goal,23,13
,6:48,Giants,Mario Manningham 4 yard pass from Eli Manning (Lawrence Tynes kick),30,13
,4:46,Packers,Donald Driver 16 yard pass from Aaron Rodgers (Mason Crosby kick),30,20
,2:36,Giants,Brandon Jacobs 14 yard rush (Lawrence Tynes kick),37,20
