Quarter,Time,Tm,Detail,BUF,NWE
1.0,5:30,Bills,Stephen Hauschka 41 yard field goal,3,0
2.0,14:14,Patriots,Stephen Gostkowski 21 yard field goal,3,3
,10:28,Bills,Jordan Poyer 19 yard interception return (Stephen Hauschka kick),10,3
,7:06,Patriots,Rob Gronkowski 17 yard pass from Tom Brady (Stephen Gostkowski kick),10,10
,1:55,Patriots,Stephen Gostkowski 40 yard field goal,10,13
,0:00,Bills,Stephen Hauschka 23 yard field goal,13,13
3.0,10:21,Bills,Stephen Hauschka 30 yard field goal,16,13
,5:08,Patriots,Stephen Gostkowski 34 yard field goal,16,16
,0:55,Patriots,Mike Gillislee 1 yard rush (Stephen Gostkowski kick),16,23
4.0,9:27,Patriots,Dion Lewis 12 yard pass from Tom Brady (Stephen Gostkowski kick),16,30
,3:58,Patriots,Dion Lewis 4 yard rush (Stephen Gostkowski kick),16,37
