Quarter,Time,Tm,Detail,ARI,SFO
2,14:54,Cardinals,Freddie Jones 16 yard pass from Josh McCown (Neil Rackers kick),7,0
,8:57,49ers,Todd Peterson 37 yard field goal,7,3
,1:56,Cardinals,Troy Hambrick 2 yard pass from Josh McCown (Neil Rackers kick),14,3
,0:16,49ers,Todd Peterson 42 yard field goal,14,6
3,11:32,49ers,Arnaz Battle 71 yard punt return (pass failed),14,12
4,11:47,Cardinals,Emmitt Smith 10 yard rush (Neil Rackers kick),21,12
,8:19,Cardinals,Larry Fitzgerald 24 yard pass from Josh McCown (Neil Rackers kick),28,12
,4:35,49ers,Eric Johnson 6 yard pass from Tim Rattay (Tim Rattay run),28,20
,1:07,49ers,Brandon Lloyd 23 yard pass from Tim Rattay (Brandon Lloyd pass from Tim Rattay),28,28
OT,11:37,49ers,Todd Peterson 32 yard field goal,28,31
