Quarter,Time,Tm,Detail,NWE,BUF
1.0,10:00,Bills,Karlos Williams 2 yard rush (Dan Carpenter kick),0,7
,4:02,Patriots,Julian Edelman 8 yard pass from Tom Brady (Stephen Gostkowski kick),7,7
,0:58,Patriots,Dion Lewis 6 yard rush (Stephen Gostkowski kick),14,7
2.0,13:14,Patriots,Rob Gronkowski 2 yard pass from Tom Brady (Stephen Gostkowski kick),21,7
,5:13,Bills,Charles Clay 9 yard pass from Tyrod Taylor (Dan Carpenter kick failed),21,13
,2:18,Patriots,Stephen Gostkowski 46 yard field goal,24,13
3.0,10:02,Patriots,Stephen Gostkowski 21 yard field goal,27,13
,3:24,Patriots,Julian Edelman 22 yard pass from Tom Brady (Stephen Gostkowski kick),34,13
,0:28,Patriots,Stephen Gostkowski 50 yard field goal,37,13
4.0,11:42,Bills,Robert Woods 32 yard pass from Tyrod Taylor (pass failed),37,19
,5:27,Bills,Tyrod Taylor 7 yard rush (run failed),37,25
,4:16,Bills,Sammy Watkins 24 yard pass from Tyrod Taylor (Dan Carpenter kick),37,32
,1:15,Patriots,Stephen Gostkowski 25 yard field goal,40,32
