Quarter,Time,Tm,Detail,NOR,SFO
1.0,2:08,49ers,Vernon Davis 49 yard pass from Alex Smith (David Akers kick),0,7
,0:41,49ers,Michael Crabtree 4 yard pass from Alex Smith (David Akers kick),0,14
2.0,14:12,49ers,David Akers 25 yard field goal,0,17
,9:32,Saints,Jimmy Graham 14 yard pass from Drew Brees (John Kasay kick),7,17
,4:09,Saints,Marques Colston 25 yard pass from Drew Brees (John Kasay kick),14,17
3.0,10:36,49ers,David Akers 41 yard field goal,14,20
4.0,13:08,Saints,John Kasay 48 yard field goal,17,20
,7:36,49ers,David Akers 37 yard field goal,17,23
,4:02,Saints,Darren Sproles 44 yard pass from Drew Brees (John Kasay kick),24,23
,2:11,49ers,Alex Smith 28 yard rush (run failed),24,29
,1:37,Saints,Jimmy Graham 66 yard pass from Drew Brees (Darren Sproles pass from Drew Brees),32,29
,0:09,49ers,Vernon Davis 14 yard pass from Alex Smith (David Akers kick),32,36
