Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jaleel McLaughlin,DEN,7,72,0,3,18,2.6,54,7.7,0,
Samaje Perine,DEN,6,12,0,1,10,1.7,2,0.3,0,
Russell Wilson,DEN,4,13,0,2,12,3.0,1,0.3,0,
Javonte Williams,DEN,2,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Khalil Herbert,CHI,18,103,0,5,71,3.9,32,1.8,0,
Roschon Johnson,CHI,5,13,0,,12,2.4,1,0.2,0,
Justin Fields,CHI,4,25,0,1,21,5.3,4,1.0,0,
Tyler Scott,CHI,2,19,0,,19,9.5,0,0.0,0,
Velus Jones Jr.,CHI,1,10,0,,0,0.0,10,10.0,0,
Cole Kmet,CHI,1,1,0,1,1,1.0,0,0.0,0,
