Quarter,Time,Tm,Detail,CAR,WAS
1.0,12:40,Panthers,Graham Gano 35 yard field goal,3,0
,6:18,Redskins,Dustin Hopkins 43 yard field goal,3,3
,1:50,Panthers,Ted Ginn Jr. 30 yard pass from Cam Newton (Graham Gano kick),10,3
2.0,12:21,Panthers,Graham Gano 23 yard field goal,13,3
,3:43,Redskins,Robert Kelley 5 yard rush (Dustin Hopkins kick failed),13,9
3.0,13:58,Panthers,Mike Tolbert 1 yard pass from Cam Newton (Graham Gano kick),20,9
,5:07,Panthers,Graham Gano 23 yard field goal,23,9
4.0,14:08,Redskins,Dustin Hopkins 26 yard field goal,23,12
,3:44,Redskins,Dustin Hopkins 34 yard field goal,23,15
,1:07,Panthers,Graham Gano 41 yard field goal,26,15
