Quarter,Time,Tm,Detail,TAM,DET
1.0,6:07,Lions,Calvin Johnson 15 yard pass from Daunte Culpepper (Jason Hanson kick),0,7
,4:40,Lions,Daniel Bullocks 44 yard defensive fumble return (Jason Hanson kick),0,14
,0:11,Lions,Jason Hanson 38 yard field goal,0,17
2.0,11:19,Buccaneers,Warrick Dunn 13 yard rush (Matt Bryant kick),7,17
,4:40,Buccaneers,Ike Hilliard 36 yard pass from Jeff Garcia (Matt Bryant kick),14,17
,3:00,Buccaneers,Jerramy Stevens 24 yard pass from Jeff Garcia (Matt Bryant kick),21,17
3.0,11:31,Buccaneers,Clifton Smith 70 yard punt return (Matt Bryant kick),28,17
,9:01,Buccaneers,Ronde Barber 65 yard interception return (Matt Bryant kick),35,17
,2:43,Lions,Jason Hanson 40 yard field goal,35,20
4.0,12:48,Buccaneers,Matt Bryant 48 yard field goal,38,20
