Quarter,Time,Tm,Detail,DAL,WAS
1.0,9:25,Cowboys,Dan Bailey 22 yard field goal,3,0
,1:39,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),10,0
2.0,13:08,Redskins,Matt Jones 14 yard rush (Dustin Hopkins kick),10,7
,4:34,Cowboys,Dan Bailey 31 yard field goal,13,7
,0:26,Redskins,Dustin Hopkins 36 yard field goal,13,10
3.0,11:16,Redskins,Jamison Crowder 11 yard pass from Kirk Cousins (Dustin Hopkins kick),13,17
,5:41,Cowboys,Dak Prescott 6 yard rush (Dan Bailey kick),20,17
,2:06,Redskins,Dustin Hopkins 29 yard field goal,20,20
,0:04,Redskins,Dustin Hopkins 22 yard field goal,20,23
4.0,4:45,Cowboys,Alfred Morris 4 yard rush (Dan Bailey kick),27,23
