Quarter,Time,Tm,Detail,BUF,NYJ
1.0,6:02,Jets,Jeremy Kerley 12 yard pass from Mark Sanchez (Nick Folk kick),0,7
2.0,14:53,Jets,Stephen Hill 33 yard pass from Mark Sanchez (Nick Folk kick),0,14
,12:40,Jets,Jeremy Kerley 68 yard punt return (Nick Folk kick),0,21
,9:06,Bills,C.J. Spiller 56 yard rush (Rian Lindell kick),7,21
,1:57,Jets,Nick Folk 25 yard field goal,7,24
,0:12,Jets,Nick Folk 39 yard field goal,7,27
3.0,13:41,Jets,Antonio Cromartie 40 yard interception return (Nick Folk kick),7,34
,9:38,Jets,Stephen Hill 17 yard pass from Mark Sanchez (Nick Folk kick),7,41
,4:26,Bills,Scott Chandler 5 yard pass from Ryan Fitzpatrick (Rian Lindell kick),14,41
4.0,7:57,Bills,Donald Jones 6 yard pass from Ryan Fitzpatrick (Rian Lindell kick),21,41
,5:58,Bills,Stevie Johnson 29 yard pass from Ryan Fitzpatrick (Rian Lindell kick),28,41
,1:17,Jets,Shonn Greene 1 yard rush (Nick Folk kick),28,48
