Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
De'Von Achane,MIA,14,107,0,5,79,5.6,28,2.0,0,
Chris Brooks,MIA,4,12,0,,4,1.0,8,2.0,0,
Jeff Wilson,MIA,3,21,0,1,3,1.0,18,6.0,1,3.0
Tua Tagovailoa,MIA,2,14,0,0,14,7.0,0,0.0,0,
Tyreek Hill,MIA,1,0,0,0,0,0.0,0,0.0,0,
Mike White,MIA,1,0,0,,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Gus Edwards,BAL,16,68,1,4,26,1.6,42,2.6,0,
Melvin Gordon,BAL,6,10,1,1,-1,-0.2,11,1.8,1,6.0
Lamar Jackson,BAL,6,35,0,1,1,0.2,34,5.7,3,2.0
Justice Hill,BAL,3,48,0,2,40,13.3,8,2.7,0,
Tyler Huntley,BAL,1,-1,0,0,-1,-1.0,0,0.0,0,
