Quarter,Time,Tm,Detail,NOR,CHI
1.0,12:00,Bears,Robbie Gould 39 yard field goal,0,3
,6:26,Bears,Mark Bradley 19 yard pass from Kyle Orton (Robbie Gould kick),0,10
2.0,8:35,Saints,Marques Colston 3 yard pass from Drew Brees (Martin Gramatica kick),7,10
,5:45,Bears,Bernard Berrian 9 yard pass from Adrian Peterson (Robbie Gould kick),7,17
,2:07,Saints,Marques Colston 21 yard pass from Drew Brees (Martin Gramatica kick),14,17
,1:48,Bears,Devin Hester 55 yard pass from Kyle Orton (Robbie Gould kick),14,24
,0:00,Saints,Martin Gramatica 48 yard field goal,17,24
3.0,12:31,Bears,Devin Hester 64 yard punt return (Robbie Gould kick),17,31
4.0,5:14,Bears,"Safety,",17,33
,0:07,Saints,Pierre Thomas 11 yard pass from Drew Brees (Pierre Thomas run),25,33
