Quarter,Time,Tm,Detail,ARI,ATL
1.0,10:55,Falcons,Morten Andersen 34 yard field goal,0,3
,8:19,Falcons,Morten Andersen 40 yard field goal,0,6
,2:30,Cardinals,Neil Rackers 29 yard field goal,3,6
2.0,14:45,Falcons,Michael Koenen 51 yard field goal,3,9
,5:59,Cardinals,Adrian Wilson 99 yard interception return (Neil Rackers kick),10,9
,0:10,Falcons,Morten Andersen 36 yard field goal,10,12
3.0,7:08,Falcons,Morten Andersen 26 yard field goal,10,15
,4:59,Falcons,DeAngelo Hall 37 yard interception return (Morten Andersen kick),10,22
4.0,13:18,Falcons,Jerious Norwood 78 yard rush (Morten Andersen kick),10,29
,11:00,Falcons,Morten Andersen 28 yard field goal,10,32
