Quarter,Time,Tm,Detail,CLE,PIT
1.0,13:40,Steelers,Duce Staley 25 yard rush (Jeff Reed kick),0,7
,11:30,Browns,Chris Crocker 20 yard interception return (Phil Dawson kick),7,7
,7:39,Steelers,Ben Roethlisberger 6 yard rush (Jeff Reed kick),7,14
,3:49,Browns,Phil Dawson 24 yard field goal,10,14
2.0,13:30,Steelers,Jeff Reed 47 yard field goal,10,17
,7:39,Steelers,Plaxico Burress 37 yard pass from Ben Roethlisberger (Jeff Reed kick),10,24
,2:39,Browns,Phil Dawson 34 yard field goal,13,24
,0:00,Steelers,Jeff Reed 26 yard field goal,13,27
3.0,8:26,Steelers,Jerome Bettis 3 yard rush (Jeff Reed kick),13,34
,4:42,Browns,Phil Dawson 46 yard field goal,16,34
4.0,8:44,Browns,Andre' Davis 7 yard pass from Jeff Garcia (Phil Dawson kick),23,34
