Quarter,Time,Tm,Detail,PIT,WAS
1.0,5:56,Redskins,Dustin Hopkins 31 yard field goal,0,3
,1:08,Redskins,Dustin Hopkins 40 yard field goal,0,6
2.0,10:10,Steelers,Antonio Brown 29 yard pass from Ben Roethlisberger (Chris Boswell kick),7,6
,0:27,Steelers,Eli Rogers 3 yard pass from Ben Roethlisberger (Chris Boswell kick),14,6
3.0,11:18,Steelers,Chris Boswell 46 yard field goal,17,6
,7:01,Steelers,Antonio Brown 26 yard pass from Ben Roethlisberger (Chris Boswell kick),24,6
,2:01,Redskins,Dustin Hopkins 34 yard field goal,24,9
4.0,13:01,Redskins,Chris Thompson 1 yard rush (Dustin Hopkins kick),24,16
,5:48,Steelers,DeAngelo Williams 15 yard rush (Chris Boswell kick),31,16
,1:54,Steelers,DeAngelo Williams 6 yard rush (Chris Boswell kick),38,16
