Quarter,Time,Tm,Detail,MIN,CHI
1.0,9:18,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),7,0
,6:43,Bears,Greg Olsen 18 yard pass from Kyle Orton (Robbie Gould kick),7,7
,5:43,Bears,Craig Steltz 17 yard blocked punt return (Robbie Gould kick),7,14
,2:18,Vikings,Visanthe Shiancoe 24 yard pass from Gus Frerotte (Ryan Longwell kick),14,14
2.0,13:33,Bears,Robbie Gould 26 yard field goal,14,17
,9:10,Vikings,Ryan Longwell 42 yard field goal,17,17
,4:58,Bears,Zackary Bowman -7 yard fumble return (Robbie Gould kick),17,24
,0:22,Vikings,Chester Taylor 1 yard rush (Ryan Longwell kick),24,24
,0:00,Bears,Robbie Gould 48 yard field goal,24,27
3.0,12:12,Bears,Rashied Davis 35 yard offensive fumble return (Robbie Gould kick),24,34
,10:40,Vikings,Adrian Peterson 54 yard rush (Ryan Longwell kick),31,34
,2:35,Bears,Marty Booker 51 yard pass from Kyle Orton (Robbie Gould kick),31,41
4.0,14:53,Bears,Matt Forte 1 yard rush (Robbie Gould kick),31,48
,8:59,Vikings,Ryan Longwell 23 yard field goal,34,48
,3:00,Vikings,Bernard Berrian 5 yard pass from Gus Frerotte (Ryan Longwell kick),41,48
