Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Donte Jackson,CAR,0,8,5,62.5%,35,7.0,4.4,0,72.4,9.1,15,20,0,0,0,0.0,0,4,1,20.0%
A.J. Bouye,CAR,0,4,4,100.0%,30,7.5,7.5,0,97.9,0.8,3,27,0,0,0,0.0,0,2,0,0.0%
Keith Taylor,CAR,0,5,4,80.0%,51,12.8,10.2,0,109.2,12.0,34,17,0,0,0,0.0,0,3,1,25.0%
Jeremy Chinn,CAR,0,6,3,50.0%,7,2.3,1.2,0,56.2,1.8,-2,9,5,0,1,0.0,1,8,0,0.0%
Jermaine Carter Jr.,CAR,0,3,2,66.7%,20,10.0,6.7,0,85.4,1.0,-2,22,8,0,0,0.0,0,5,0,0.0%
Sean Chandler,CAR,0,2,2,100.0%,31,15.5,15.5,0,118.7,14.0,28,3,1,0,0,0.0,0,8,0,0.0%
C.J. Henderson,CAR,0,2,2,100.0%,22,11.0,11.0,0,112.5,11.0,22,0,0,0,0,0.0,0,3,0,0.0%
Stantley Thomas-Oliver,CAR,0,1,1,100.0%,5,5.0,5.0,1,127.1,3.0,3,2,0,0,0,0.0,0,2,0,0.0%
Frankie Luvu,CAR,0,1,1,100.0%,18,18.0,18.0,0,118.7,4.0,4,14,0,0,0,0.0,0,3,0,0.0%
Brian Burns,CAR,0,0,0,,,,,,,,,,1,1,1,1.0,3,4,0,0.0%
Derrick Brown,CAR,0,0,0,,,,,,,,,,0,0,0,1.0,1,6,0,0.0%
DaQuan Jones,CAR,0,0,0,,,,,,,,,,0,0,1,0.0,1,2,0,0.0%
Haason Reddick,CAR,0,0,0,,,,,,,,,,4,0,0,0.0,0,5,0,0.0%
Kamal Martin,CAR,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
Clay Johnston,CAR,0,1,0,0.0%,,,0.0,,39.6,5.0,,,0,0,0,0.0,0,5,1,16.7%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Logan Ryan,NYG,0,6,4,66.7%,43,10.8,7.2,0,87.5,10.0,22,21,0,0,0,0.0,0,4,2,33.3%
James Bradberry,NYG,1,6,4,66.7%,47,11.8,7.8,0,50.7,10.5,28,19,0,0,0,0.0,0,2,0,0.0%
Tae Crowder,NYG,0,5,4,80.0%,22,5.5,4.4,0,85.0,0.4,-3,25,0,0,0,0.0,0,6,0,0.0%
Xavier McKinney,NYG,0,4,2,50.0%,7,3.5,1.8,0,56.2,7.8,-2,9,0,0,0,0.0,0,5,0,0.0%
Adoree' Jackson,NYG,0,4,2,50.0%,8,4.0,2.0,0,56.2,8.3,8,0,2,0,0,0.0,0,5,0,0.0%
Azeez Ojulari,NYG,0,1,1,100.0%,1,1.0,1.0,0,79.2,-4.0,-4,5,1,1,1,2.5,5,5,0,0.0%
Lorenzo Carter,NYG,0,1,1,100.0%,5,5.0,5.0,0,87.5,0.0,0,5,0,2,0,0.0,2,4,0,0.0%
Reggie Ragland,NYG,0,1,1,100.0%,5,5.0,5.0,0,87.5,-3.0,-3,8,0,0,0,0.0,0,1,1,50.0%
Darnay Holmes,NYG,0,6,1,16.7%,7,7.0,1.2,0,39.6,17.5,7,0,0,0,0,0.0,0,2,0,0.0%
Leonard Williams,NYG,0,0,0,,,,,,,,,,0,0,2,1.5,4,6,0,0.0%
Dexter Lawrence,NYG,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
Austin Johnson,NYG,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Jabrill Peppers,NYG,0,1,0,0.0%,,,0.0,,39.6,3.0,,,2,0,0,1.0,1,4,1,20.0%
Julian Love,NYG,0,1,0,0.0%,,,0.0,,39.6,4.0,,,0,0,0,0.0,0,1,0,0.0%
Benardrick McKinney,NYG,0,1,0,0.0%,,,0.0,,39.6,3.0,,,1,0,0,0.0,0,2,0,0.0%
Oshane Ximines,NYG,0,1,0,0.0%,,,0.0,,39.6,-5.0,,,0,0,0,0.0,0,0,0,
