Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
D.J. Moore,CAR,10,6,73,0,5,49,8.2,24,4.0,10.4,0,,1,10.0,0,82.5
Chuba Hubbard,CAR,5,4,28,0,1,0,0.0,28,7.0,0.6,0,,1,20.0,0,90.0
Keith Kirkwood,CAR,5,3,17,0,1,0,0.0,17,5.7,9.6,0,,0,0.0,0,66.2
Robbie Chosen,CAR,9,3,14,0,,3,1.0,11,3.7,8.6,0,,1,11.1,0,42.4
Tommy Tremble,CAR,2,2,12,0,1,7,3.5,5,2.5,3.5,0,,0,0.0,0,91.7
Royce Freeman,CAR,2,1,1,0,,-6,-6.0,7,7.0,-5.5,0,,0,0.0,0,56.2
Ian Thomas,CAR,2,0,0,0,,0,,0,,16.0,0,,1,50.0,1,0.0
Colin Thompson,CAR,1,0,0,0,,0,,0,,5.0,0,,0,0.0,0,39.6
Shi Smith,CAR,2,0,0,0,,0,,0,,13.5,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Evan Engram,NYG,8,6,44,0,1,0,0.0,44,7.3,0.4,0,,0,0.0,0,87.5
Dante Pettis,NYG,5,5,39,1,2,13,2.6,26,5.2,2.6,0,,0,0.0,0,138.7
Darius Slayton,NYG,9,5,63,0,4,49,9.8,14,2.8,14.9,0,,0,0.0,0,77.5
Kyle Rudolph,NYG,2,2,8,0,,0,0.0,8,4.0,0.0,0,,0,0.0,0,83.3
John Ross,NYG,2,2,27,0,2,19,9.5,8,4.0,9.5,0,,0,0.0,0,118.7
Devontae Booker,NYG,3,2,15,0,1,4,2.0,11,5.5,3.0,0,,1,33.3,0,78.5
Daniel Jones,NYG,1,1,16,0,1,13,13.0,3,3.0,13.0,0,,0,0.0,0,118.7
Collin Johnson,NYG,2,1,7,0,,7,7.0,0,0.0,6.0,0,,0,0.0,0,58.3
David Sills,NYG,1,0,0,0,,0,,0,,9.0,0,,1,100.0,0,39.6
