Quarter,Time,Tm,Detail,CIN,BAL
1.0,11:16,Ravens,Jamal Lewis 1 yard rush (Matt Stover kick),0,7
,11:03,Bengals,Brandon Bennett 94 yard kickoff return (Neil Rackers kick),7,7
2.0,14:53,Ravens,Adalius Thomas 25 yard interception return (Matt Stover kick),7,14
,5:42,Bengals,Chad Johnson 39 yard pass from Jon Kitna (Neil Rackers kick),14,14
,2:59,Ravens,Matt Stover 33 yard field goal,14,17
,1:23,Ravens,Lamont Brightful 95 yard punt return (Matt Stover kick),14,24
3.0,9:57,Bengals,Neil Rackers 43 yard field goal,17,24
,2:48,Ravens,Travis Taylor 1 yard pass from Jeff Blake (Matt Stover kick),17,31
4.0,13:29,Bengals,Neil Rackers 35 yard field goal,20,31
,6:14,Ravens,Jamal Lewis 3 yard rush (Matt Stover kick),20,38
,2:28,Bengals,Peter Warrick 3 yard pass from Jon Kitna (Neil Rackers kick),27,38
