Quarter,Time,Tm,Detail,PHI,WAS
1.0,11:54,Redskins,DeAngelo Hall 75 yard defensive fumble return (Kai Forbath kick),0,7
,9:15,Eagles,Alex Henery 48 yard field goal,3,7
,8:59,Eagles,DeSean Jackson 25 yard pass from Michael Vick (Alex Henery kick),10,7
,4:50,Eagles,"Safety, Alfred Morris tackled in end zone.",12,7
2.0,6:10,Eagles,Brent Celek 28 yard pass from Michael Vick (Alex Henery kick),19,7
,0:58,Eagles,Michael Vick 3 yard rush (Alex Henery kick),26,7
3.0,13:26,Eagles,LeSean McCoy 34 yard rush (Alex Henery kick),33,7
,0:06,Redskins,Alfred Morris 5 yard rush (Kai Forbath kick),33,14
4.0,12:24,Redskins,Leonard Hankerson 10 yard pass from Robert Griffin III (pass failed),33,20
,1:14,Redskins,Leonard Hankerson 24 yard pass from Robert Griffin III (Kai Forbath kick),33,27
