Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jamaal Williams,DET,17,64,3,6,41,2.4,23,1.4,0,
Justin Jackson,DET,9,66,0,2,30,3.3,36,4.0,1,9.0
D'Andre Swift,DET,5,20,1,2,14,2.8,6,1.2,0,
Jared Goff,DET,4,-1,0,1,-1,-0.3,0,0.0,0,
Kalif Raymond,DET,1,7,0,1,7,7.0,0,0.0,0,
Amon-Ra St. Brown,DET,1,4,0,0,0,0.0,4,4.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Saquon Barkley,NYG,15,22,0,,10,0.7,12,0.8,0,
Daniel Jones,NYG,7,50,1,5,46,6.6,4,0.6,0,
Matt Breida,NYG,3,13,1,2,7,2.3,6,2.0,0,
Wan'Dale Robinson,NYG,1,4,0,0,4,4.0,0,0.0,0,
