Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jaylen Waddle,MIA,12,10,92,1,6,35,3.5,57,5.7,5.8,0,,0,0.0,0,126.4
Mike Gesicki,MIA,4,3,22,0,1,7,2.3,15,5.0,5.8,0,,0,0.0,0,87.5
Durham Smythe,MIA,3,3,31,0,1,17,5.7,14,4.7,5.7,0,,0,0.0,0,109.7
Myles Gaskin,MIA,3,1,6,0,,-4,-4.0,10,10.0,2.0,0,,0,0.0,0,42.4
Mack Hollins,MIA,2,1,40,0,1,37,37.0,3,3.0,38.0,0,,0,0.0,1,56.2
Tommylee Lewis,MIA,2,1,7,0,1,-4,-4.0,11,11.0,3.0,0,,0,0.0,0,58.3
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquez Callaway,NOR,5,4,46,0,3,31,7.8,15,3.8,9.2,1,4.0,0,0.0,1,65.4
Lil'Jordan Humphrey,NOR,5,3,70,0,1,24,8.0,46,15.3,6.4,0,,0,0.0,1,64.6
Alvin Kamara,NOR,4,2,7,0,1,-7,-3.5,14,7.0,-2.8,0,,1,25.0,0,56.2
Ethan Wolf,NOR,2,2,8,0,,2,1.0,6,3.0,1.0,0,,0,0.0,0,83.3
Kenny Stills,NOR,1,1,4,0,,4,4.0,0,0.0,4.0,0,,0,0.0,0,83.3
Nick Vannett,NOR,1,0,0,0,,0,,0,,3.0,0,,1,100.0,0,39.6
