Quarter,Time,Tm,Detail,MIN,CHI
1,7:24,Bears,Robbie Gould 22 yard field goal,0,3
2,13:23,Bears,Robbie Gould 42 yard field goal,0,6
,5:56,Bears,Greg Olsen 7 yard pass from Jay Cutler (Robbie Gould kick),0,13
,0:00,Bears,Robbie Gould 41 yard field goal,0,16
3,8:17,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick failed),6,16
,6:30,Bears,Desmond Clark 2 yard pass from Jay Cutler (Robbie Gould kick),6,23
,1:18,Vikings,Visanthe Shiancoe 6 yard pass from Brett Favre (Ryan Longwell kick),13,23
4,12:10,Vikings,Ryan Longwell 41 yard field goal,16,23
,5:49,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),23,23
,4:55,Bears,Earl Bennett 20 yard pass from Jay Cutler (Robbie Gould kick),23,30
,0:16,Vikings,Sidney Rice 6 yard pass from Brett Favre (Ryan Longwell kick),30,30
OT,9:15,Bears,Devin Aromashodu 39 yard pass from Jay Cutler,30,36
