Quarter,Time,Tm,Detail,NYG,ARI
1.0,6:11,Cardinals,James Conner 4 yard rush (Matt Prater kick),0,7
2.0,14:51,Cardinals,Joshua Dobbs 23 yard rush (Matt Prater kick),0,14
,8:43,Cardinals,Matt Prater 37 yard field goal,0,17
,1:09,Cardinals,Matt Prater 44 yard field goal,0,20
3.0,13:43,Giants,Daniel Jones 14 yard rush (Graham Gano kick),7,20
,9:34,Cardinals,Marquise Brown 3 yard pass from Joshua Dobbs (Joshua Dobbs run),7,28
,3:27,Giants,Saquon Barkley 1 yard rush (Graham Gano kick),14,28
4.0,8:51,Giants,Saquon Barkley 9 yard pass from Daniel Jones (Graham Gano kick),21,28
,4:25,Giants,Isaiah Hodgins 11 yard pass from Daniel Jones (Graham Gano kick),28,28
,0:19,Giants,Graham Gano 34 yard field goal,31,28
