Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Christian Kirk,ARI,12,9,94,1,3,63,7.0,31,3.4,8.7,1,9.0,1,8.3,0,125.0
Zach Ertz,ARI,11,6,74,0,4,48,8.0,26,4.3,9.3,0,,1,9.1,0,75.6
A.J. Green,ARI,8,4,64,0,4,41,10.3,23,5.8,9.0,2,2.0,1,12.5,1,37.5
Antoine Wesley,ARI,8,3,19,0,1,7,2.3,12,4.0,7.6,0,,1,12.5,0,45.8
Rondale Moore,ARI,3,3,9,0,1,-11,-3.7,20,6.7,-3.7,0,,0,0.0,0,79.2
James Conner,ARI,2,2,31,0,2,-5,-2.5,36,18.0,-2.5,0,,0,0.0,0,118.7
Andy Isabella,ARI,1,1,13,0,1,6,6.0,7,7.0,6.0,0,,0,0.0,0,118.7
Jonathan Ward,ARI,2,1,9,0,,-6,-6.0,15,15.0,-0.5,0,,0,0.0,0,62.5
Chase Edmonds,ARI,1,0,0,0,0,0,,0,,3.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Amon-Ra St. Brown,DET,11,8,90,1,4,49,6.1,41,5.1,6.5,0,,0,0.0,0,127.1
Josh Reynolds,DET,6,6,68,1,4,57,9.5,11,1.8,9.5,0,,0,0.0,0,153.5
Godwin Igwebuike,DET,2,2,11,0,1,-10,-5.0,21,10.5,-5.0,0,,0,0.0,0,89.6
Kalif Raymond,DET,3,2,20,0,2,12,6.0,8,4.0,9.0,0,,0,0.0,0,85.4
Craig Reynolds,DET,1,1,5,0,0,0,0.0,5,5.0,0.0,0,,0,0.0,0,87.5
Jason Cabinda,DET,1,1,6,1,1,3,3.0,3,3.0,3.0,0,,0,0.0,0,131.2
Shane Zylstra,DET,1,1,16,0,1,11,11.0,5,5.0,11.0,0,,0,0.0,0,118.7
Brock Wright,DET,1,0,0,0,,0,,0,,2.0,0,,0,0.0,0,39.6
