Quarter,Time,Tm,Detail,TEN,BUF
1.0,10:38,Titans,Chris Johnson 16 yard rush (Rob Bironas kick),7,0
,3:01,Bills,Fred Jackson 3 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,7
,2:43,Titans,Chris Johnson 83 yard rush (Rob Bironas kick),14,7
,2:31,Bills,Brad Smith 89 yard kickoff return (Rian Lindell kick),14,14
2.0,10:18,Titans,Jamie Harper 1 yard rush (Rob Bironas kick),21,14
,3:56,Bills,Rian Lindell 31 yard field goal,21,17
,0:00,Bills,Rian Lindell 42 yard field goal,21,20
3.0,11:45,Titans,Jamie Harper 1 yard rush (Rob Bironas kick),28,20
,7:52,Bills,Donald Jones 15 yard pass from Ryan Fitzpatrick (Rian Lindell kick),28,27
,0:05,Bills,Stevie Johnson 27 yard pass from Ryan Fitzpatrick (Rian Lindell kick),28,34
4.0,1:03,Titans,Nate Washington 15 yard pass from Matt Hasselbeck (Rob Bironas kick),35,34
