Quarter,Time,Tm,Detail,GNB,NYG
1.0,13:24,Giants,Travis Beckum 67 yard pass from Eli Manning (Lawrence Tynes kick),0,7
,5:06,Packers,Jermichael Finley 12 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
,2:00,Giants,Lawrence Tynes 38 yard field goal,7,10
2.0,14:50,Packers,Clay Matthews 38 yard interception return (Mason Crosby kick),14,10
,6:44,Giants,Brandon Jacobs 1 yard rush (Lawrence Tynes kick),14,17
,1:10,Packers,Donald Driver 13 yard pass from Aaron Rodgers (Mason Crosby kick),21,17
3.0,9:50,Packers,Greg Jennings 20 yard pass from Aaron Rodgers (Mason Crosby kick),28,17
,6:30,Giants,Hakeem Nicks 4 yard pass from Eli Manning (Lawrence Tynes kick),28,24
4.0,10:53,Giants,Lawrence Tynes 50 yard field goal,28,27
,3:34,Packers,Donald Driver 7 yard pass from Aaron Rodgers (Mason Crosby kick),35,27
,0:58,Giants,Hakeem Nicks 2 yard pass from Eli Manning (Danny Ware run),35,35
,0:00,Packers,Mason Crosby 30 yard field goal,38,35
