Quarter,Time,Tm,Detail,SFO,SEA
1.0,14:17,Seahawks,Christine Michael 41 yard rush (Stephen Hauschka kick),0,7
,4:08,Seahawks,Christine Michael 4 yard rush (Stephen Hauschka kick),0,14
2.0,9:41,49ers,Phil Dawson 22 yard field goal,3,14
,7:53,Seahawks,Jimmy Graham 18 yard pass from Russell Wilson (Stephen Hauschka kick),3,21
,1:13,Seahawks,Stephen Hauschka 33 yard field goal,3,24
3.0,6:53,Seahawks,Stephen Hauschka 33 yard field goal,3,27
,2:29,Seahawks,Stephen Hauschka 22 yard field goal,3,30
4.0,12:53,Seahawks,Doug Baldwin 16 yard pass from Trevone Boykin (Stephen Hauschka kick),3,37
,7:50,49ers,Carlos Hyde 8 yard rush (Phil Dawson kick),10,37
,0:56,49ers,Carlos Hyde 8 yard rush (Carlos Hyde run),18,37
