Quarter,Time,Tm,Detail,PIT,GNB
1.0,4:02,Packers,Jarrett Boykin 5 yard pass from Matt Flynn (Mason Crosby kick),0,7
,0:01,Steelers,Emmanuel Sanders 1 yard pass from Ben Roethlisberger (Shaun Suisham kick),7,7
2.0,1:53,Packers,Eddie Lacy 14 yard rush (Mason Crosby kick),7,14
,0:02,Steelers,Shaun Suisham 31 yard field goal,10,14
3.0,11:51,Steelers,Ben Roethlisberger 13 yard rush (Shaun Suisham kick),17,14
,5:19,Packers,Eddie Lacy 2 yard rush (Mason Crosby kick),17,21
,1:55,Steelers,Matt Spaeth 11 yard pass from Ben Roethlisberger (Shaun Suisham kick),24,21
,1:37,Steelers,Cortez Allen 40 yard interception return (Shaun Suisham kick),31,21
4.0,12:04,Packers,Mason Crosby 22 yard field goal,31,24
,7:14,Packers,John Kuhn 1 yard rush (Mason Crosby kick),31,31
,1:25,Steelers,Le'Veon Bell 1 yard rush (Shaun Suisham kick),38,31
