Quarter,Time,Tm,Detail,LAR,DAL
1.0,11:30,Cowboys,Dan Bailey 34 yard field goal,0,3
,7:07,Rams,Greg Zuerlein 49 yard field goal,3,3
2.0,14:05,Cowboys,Ezekiel Elliott 10 yard pass from Dak Prescott (Dan Bailey kick),3,10
,12:39,Rams,Greg Zuerlein 44 yard field goal,6,10
,10:53,Cowboys,Ezekiel Elliott 1 yard rush (Dan Bailey kick),6,17
,6:33,Rams,Cooper Kupp 7 yard pass from Jared Goff (Greg Zuerlein kick),13,17
,1:51,Cowboys,Brice Butler 10 yard pass from Dak Prescott (Dan Bailey kick),13,24
,0:00,Rams,Greg Zuerlein 44 yard field goal,16,24
3.0,7:26,Rams,Greg Zuerlein 30 yard field goal,19,24
,2:59,Rams,Todd Gurley 53 yard pass from Jared Goff (Greg Zuerlein kick),26,24
4.0,11:56,Rams,Greg Zuerlein 28 yard field goal,29,24
,9:41,Rams,Greg Zuerlein 43 yard field goal,32,24
,7:11,Cowboys,James Hanna 28 yard pass from Dak Prescott (pass failed),32,30
,1:55,Rams,Greg Zuerlein 33 yard field goal,35,30
