Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Kyle Dugger,NWE,0,8,6,75.0%,35,5.8,4.4,0,82.8,6.5,22,13,0,0,0,0.0,0,7,1,12.5%
Ja'Whaun Bentley,NWE,0,4,4,100.0%,30,7.5,7.5,0,97.9,5.0,20,10,1,0,2,0.0,2,7,0,0.0%
Myles Bryant,NWE,0,3,3,100.0%,48,16.0,16.0,0,118.7,10.7,32,16,1,0,0,0.0,0,2,0,0.0%
Dont'a Hightower,NWE,0,4,3,75.0%,16,5.3,4.0,0,81.2,2.8,8,8,2,0,0,0.0,0,7,1,12.5%
Joejuan Williams,NWE,0,3,2,66.7%,16,8.0,5.3,0,79.9,5.7,6,10,0,0,0,0.0,0,2,0,0.0%
Matt Judon,NWE,0,2,1,50.0%,6,6.0,3.0,0,56.2,4.0,1,5,2,1,2,1.0,4,3,0,0.0%
J.C. Jackson,NWE,1,3,1,33.3%,7,7.0,2.3,0,2.8,8.3,7,0,0,0,0,0.0,0,2,0,0.0%
Deatrich Wise Jr.,NWE,0,0,0,,,,,,,,,,0,0,2,0.0,2,0,0,
Kyle Van Noy,NWE,1,0,0,,,,,,,,,,1,0,0,2.0,2,8,0,0.0%
Davon Godchaux,NWE,0,1,0,0.0%,,,0.0,,39.6,-6.0,,,0,0,1,1.0,2,3,0,0.0%
Christian Barmore,NWE,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Devin McCourty,NWE,1,2,0,0.0%,,,0.0,,0.0,14.0,,,0,0,0,0.0,0,3,0,0.0%
Adrian Phillips,NWE,1,1,0,0.0%,,,0.0,,0.0,2.0,,,0,0,0,0.0,0,5,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Fabian Moreau,ATL,0,6,5,83.3%,33,6.6,5.5,0,89.6,5.3,26,7,0,0,0,0.0,0,9,0,0.0%
Deion Jones,ATL,0,3,3,100.0%,35,11.7,11.7,0,115.3,6.3,19,16,3,0,0,0.0,0,5,0,0.0%
Richie Grant,ATL,0,4,3,75.0%,30,10.0,7.5,0,95.8,5.0,7,23,2,0,0,0.0,0,3,1,25.0%
AJ Terrell,ATL,1,4,3,75.0%,13,4.3,3.3,0,38.5,9.0,11,2,0,0,0,0.0,0,9,0,0.0%
Darren Hall,ATL,0,2,2,100.0%,28,14.0,14.0,0,118.7,12.5,25,3,1,0,0,1.0,1,4,0,0.0%
Brandon Copeland,ATL,0,2,2,100.0%,24,12.0,12.0,1,156.2,4.5,9,15,1,0,0,0.0,0,4,0,0.0%
Dante Fowler,ATL,0,1,1,100.0%,6,6.0,6.0,0,91.7,-3.0,-3,9,0,0,0,0.5,1,5,0,0.0%
Erik Harris,ATL,0,2,1,50.0%,15,15.0,7.5,0,75.0,13.5,13,2,1,0,0,0.5,1,5,2,28.6%
Duron Harmon,ATL,0,1,1,100.0%,6,6.0,6.0,0,91.7,-3.0,-3,9,1,0,1,0.0,1,4,1,20.0%
James Vaughters,ATL,0,1,1,100.0%,17,17.0,17.0,0,118.7,0.0,0,17,0,0,0,0.0,0,0,1,100.0%
Foyesade Oluokun,ATL,0,0,0,,,,,,,,,,6,0,0,1.0,1,10,0,0.0%
