Quarter,Time,Tm,Detail,NWE,IND
1.0,9:04,Patriots,Adam Vinatieri 43 yard field goal,3,0
,2:32,Patriots,Mike Cloud 4 yard rush (Adam Vinatieri kick),10,0
2.0,11:54,Patriots,Dedric Ward 31 yard pass from Tom Brady (Adam Vinatieri kick),17,0
,7:04,Colts,Mike Vanderjagt 40 yard field goal,17,3
,0:12,Colts,Marcus Pollard 8 yard pass from Peyton Manning (Mike Vanderjagt kick),17,10
,0:00,Patriots,Bethel Johnson 92 yard kickoff return (Adam Vinatieri kick),24,10
3.0,7:36,Patriots,Mike Cloud 1 yard rush (Adam Vinatieri kick),31,10
,1:20,Colts,Reggie Wayne 13 yard pass from Peyton Manning (Mike Vanderjagt kick),31,17
,0:14,Colts,Marvin Harrison 26 yard pass from Peyton Manning (Mike Vanderjagt kick),31,24
4.0,10:21,Colts,Troy Walters 6 yard pass from Peyton Manning (Mike Vanderjagt kick),31,31
,8:36,Patriots,Deion Branch 13 yard pass from Tom Brady (Adam Vinatieri kick),38,31
,3:27,Colts,Mike Vanderjagt 29 yard field goal,38,34
