Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tyler Lockett,SEA,6,6,89,0,5,65,10.8,24,4.0,10.8,1,6.0,0,0.0,0,118.7
Jaxon Smith-Njigba,SEA,7,4,25,0,1,-13,-3.3,38,9.5,7.0,0,,1,14.3,0,64.6
Kenneth Walker III,SEA,5,4,33,0,1,-9,-2.3,42,10.5,-2.8,5,0.8,1,20.0,0,94.2
Noah Fant,SEA,4,2,35,0,1,20,10.0,15,7.5,5.3,0,,0,0.0,0,80.2
D.K. Metcalf,SEA,5,2,52,1,2,36,18.0,16,8.0,22.2,1,2.0,1,20.0,2,78.7
Colby Parkinson,SEA,2,2,28,1,1,9,4.5,19,9.5,4.5,0,,0,0.0,0,158.3
Zach Charbonnet,SEA,1,1,4,0,0,-6,-6.0,10,10.0,-6.0,1,1.0,0,0.0,0,83.3
Will Dissly,SEA,1,1,3,0,,0,0.0,3,3.0,0.0,0,,0,0.0,0,79.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Deebo Samuel,SFO,9,7,149,1,5,58,8.3,91,13.0,7.2,3,2.3,1,11.1,0,155.8
Brandon Aiyuk,SFO,9,6,126,0,5,72,12.0,54,9.0,12.7,1,6.0,0,0.0,1,70.1
George Kittle,SFO,5,3,76,1,2,41,13.7,35,11.7,12.2,2,1.5,0,0.0,0,143.7
Jordan Mason,SFO,1,1,6,0,0,-2,-2.0,8,8.0,-2.0,1,1.0,0,0.0,0,91.7
Christian McCaffrey,SFO,1,1,8,0,0,5,5.0,3,3.0,5.0,0,,0,0.0,0,100.0
Charlie Woerner,SFO,1,1,3,0,,-1,-1.0,4,4.0,-1.0,0,,0,0.0,0,79.2
Jauan Jennings,SFO,1,0,0,0,,0,,0,,10.0,0,,0,0.0,0,39.6
