Quarter,Time,Tm,Detail,TAM,ATL
1.0,11:36,Buccaneers,Cameron Brate 15 yard pass from Jameis Winston (Chandler Catanzaro kick failed),6,0
,8:22,Falcons,Mohamed Sanu 35 yard pass from Matt Ryan (Matt Bryant kick),6,7
2.0,12:19,Falcons,Ito Smith 14 yard rush (Matt Bryant kick),6,14
,7:30,Falcons,Austin Hooper 9 yard pass from Matt Ryan (Matt Bryant kick),6,21
,0:26,Buccaneers,O.J. Howard 10 yard pass from Jameis Winston (Chandler Catanzaro kick),13,21
,0:01,Falcons,Matt Bryant 45 yard field goal,13,24
3.0,2:39,Buccaneers,Chandler Catanzaro 35 yard field goal,16,24
4.0,11:34,Buccaneers,Chris Godwin 9 yard pass from Jameis Winston (pass failed),22,24
,6:28,Falcons,Tevin Coleman 6 yard pass from Matt Ryan (Matt Bryant kick),22,31
,3:47,Buccaneers,Peyton Barber 5 yard pass from Jameis Winston (Chandler Catanzaro kick),29,31
,1:10,Falcons,Matt Bryant 57 yard field goal,29,34
