Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Saahdiq Charles,G,71,100%,0,0%,4,14%
Andrew Wylie,T,71,100%,0,0%,4,14%
Charles Leno Jr.,T,71,100%,0,0%,4,14%
Sam Howell,QB,71,100%,0,0%,0,0%
Nick Gates,C,71,100%,0,0%,0,0%
Samuel Cosmi,G,68,96%,0,0%,4,14%
Terry McLaurin,WR,63,89%,0,0%,0,0%
Jahan Dotson,WR,62,87%,0,0%,0,0%
Logan Thomas,TE,58,82%,0,0%,0,0%
Curtis Samuel,WR,46,65%,0,0%,0,0%
Brian Robinson Jr.,RB,43,61%,0,0%,0,0%
John Bates,TE,26,37%,0,0%,9,32%
Antonio Gibson,RB,25,35%,0,0%,5,18%
Dyami Brown,WR,19,27%,0,0%,5,18%
Cole Turner,TE,10,14%,0,0%,10,36%
Chris Rodriguez,RB,3,4%,0,0%,20,71%
Ricky Stromberg,C,3,4%,0,0%,0,0%
Kendall Fuller,CB,0,0%,62,100%,0,0%
Darrick Forrest,FS,0,0%,62,100%,0,0%
Kamren Curl,SS,0,0%,62,100%,0,0%
Cody Barton,LB,0,0%,62,100%,0,0%
Benjamin St-Juste,CB,0,0%,62,100%,0,0%
Jonathan Allen,DT,0,0%,57,92%,0,0%
Montez Sweat,DE,0,0%,51,82%,0,0%
Daron Payne,DT,0,0%,50,81%,4,14%
James Smith-Williams,DE,0,0%,42,68%,0,0%
Jamin Davis,LB,0,0%,40,65%,5,18%
Emmanuel Forbes,CB,0,0%,40,65%,0,0%
Percy Butler,FS,0,0%,33,53%,13,46%
Casey Toohill,DE,0,0%,29,47%,11,39%
John Ridgeway,DT,0,0%,16,26%,4,14%
Abdullah Anderson,DT,0,0%,10,16%,4,14%
Andre Jones,DE,0,0%,4,6%,24,86%
Jeremy Reaves,SS,0,0%,0,0%,24,86%
David Mayo,LB,0,0%,0,0%,24,86%
Khaleke Hudson,LB,0,0%,0,0%,24,86%
Christian Holmes,CB,0,0%,0,0%,24,86%
Quan Martin,CB,0,0%,0,0%,18,64%
K.J. Henry,DE,0,0%,0,0%,13,46%
Tress Way,P,0,0%,0,0%,10,36%
Camaron Cheeseman,LS,0,0%,0,0%,10,36%
Danny Johnson,CB,0,0%,0,0%,9,32%
Joey Slye,K,0,0%,0,0%,8,29%
Jamison Crowder,WR,0,0%,0,0%,5,18%
Cornelius Lucas,T,0,0%,0,0%,4,14%
Tyler Larsen,C,0,0%,0,0%,4,14%
Byron Pringle,WR,0,0%,0,0%,1,4%
