Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Blake Bortles,JAX,20,33,271,1,1,2,8,51,84.3,3,1,0,3,0,0,0,0,,1,1
Chris Ivory,JAX,0,0,0,0,0,0,0,,,11,32,1,9,2,2,3,0,2,0,0
T.J. Yeldon,JAX,0,0,0,0,0,0,0,,,6,21,0,13,2,1,5,0,5,0,0
Allen Hurns,JAX,0,0,0,0,0,0,0,,,0,0,0,,11,5,74,0,29,0,0
Marqise Lee,JAX,0,0,0,0,0,0,0,,,0,0,0,,6,6,61,0,14,0,0
Arrelious Benn,JAX,0,0,0,0,0,0,0,,,0,0,0,,1,1,51,1,51,0,0
Allen Robinson,JAX,0,0,0,0,0,0,0,,,0,0,0,,6,3,49,0,18,0,0
Julius Thomas,JAX,0,0,0,0,0,0,0,,,0,0,0,,4,2,28,0,15,0,0
Marcedes Lewis,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Brian Hoyer,CHI,30,49,302,0,0,1,5,36,78.8,1,0,0,0,0,0,0,0,,1,0
Ka'Deem Carey,CHI,0,0,0,0,0,0,0,,,9,50,0,16,1,0,0,0,,0,0
Jordan Howard,CHI,0,0,0,0,0,0,0,,,15,34,1,9,4,2,6,0,7,0,0
Josh Bellamy,CHI,0,0,0,0,0,0,0,,,1,7,0,7,0,0,0,0,,0,0
Paul Lasike,CHI,0,0,0,0,0,0,0,,,1,1,0,1,0,0,0,0,,0,0
Cameron Meredith,CHI,0,0,0,0,0,0,0,,,0,0,0,,15,11,113,0,36,0,0
Alshon Jeffery,CHI,0,0,0,0,0,0,0,,,0,0,0,,13,7,93,0,26,0,0
Eddie Royal,CHI,0,0,0,0,0,0,0,,,0,0,0,,6,4,54,0,17,0,0
Zach Miller,CHI,0,0,0,0,0,0,0,,,0,0,0,,10,6,36,0,11,0,0
