Quarter,Time,Tm,Detail,HOU,ATL
1.0,8:32,Falcons,Devonta Freeman 16 yard rush (Matt Bryant kick),0,7
2.0,14:39,Falcons,Devonta Freeman 23 yard rush (Matt Bryant kick),0,14
,12:24,Falcons,Desmond Trufant 24 yard defensive fumble return (Matt Bryant kick),0,21
,3:11,Falcons,Leonard Hankerson 3 yard pass from Matt Ryan (Matt Bryant kick),0,28
3.0,10:50,Falcons,Devonta Freeman 6 yard rush (Matt Bryant kick),0,35
,2:56,Falcons,Terron Ward 8 yard rush (Matt Bryant kick),0,42
4.0,14:22,Texans,C.J. Fiedorowicz 5 yard pass from Brian Hoyer (Nick Novak kick),7,42
,9:09,Texans,Chris Polk 1 yard rush (Nick Novak kick),14,42
,3:01,Texans,Cecil Shorts 8 yard pass from Brian Hoyer (Nick Novak kick),21,42
,0:00,Falcons,Nathan Stupar 84 yard defensive fumble return (run failed),21,48
