Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Paulson Adebo,NOR,0,7,4,57.1%,38,9.5,5.4,0,72.3,8.1,23,15,0,0,0,0.0,0,6,0,0.0%
Demario Davis,NOR,0,6,4,66.7%,52,13.0,8.7,0,93.7,6.2,27,25,3,0,0,0.0,0,8,1,11.1%
Kwon Alexander,NOR,0,5,3,60.0%,26,8.7,5.2,0,73.7,3.4,8,18,3,0,0,2.0,2,4,0,0.0%
Malcolm Jenkins,NOR,0,6,3,50.0%,29,9.7,4.8,0,63.9,6.2,0,29,4,0,1,0.0,1,3,0,0.0%
Marshon Lattimore,NOR,0,9,3,33.3%,38,12.7,4.2,0,47.5,8.8,22,16,0,0,0,0.0,0,5,0,0.0%
P.J. Williams,NOR,0,1,1,100.0%,3,3.0,3.0,0,79.2,1.0,1,2,0,1,0,0.0,1,3,0,0.0%
Marcus Williams,NOR,0,3,1,33.3%,16,16.0,5.3,0,52.1,13.7,12,4,0,0,0,0.0,0,5,0,0.0%
Carl Granderson,NOR,0,0,0,,,,,,,,,,0,1,1,1.0,3,2,0,0.0%
Marcus Davenport,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Christian Ringo,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
David Onyemata,NOR,0,0,0,,,,,,,,,,0,1,0,0.0,1,0,0,
C.J. Gardner-Johnson,NOR,0,2,0,0.0%,,,0.0,,39.6,13.0,,,1,0,0,0.0,0,1,0,0.0%
Bradley Roby,NOR,0,1,0,0.0%,,,0.0,,39.6,3.0,,,0,0,0,0.0,0,1,0,0.0%
Jalyn Holmes,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Zack Baun,NOR,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
C.J. Mosley,NYJ,0,4,4,100.0%,33,8.3,8.3,0,101.0,1.0,4,29,2,0,0,0.0,0,17,0,0.0%
Quincy Williams,NYJ,0,6,4,66.7%,29,7.3,4.8,0,77.8,5.7,15,14,1,0,0,0.0,0,8,2,20.0%
Ashtyn Davis,NYJ,0,3,3,100.0%,59,19.7,19.7,0,118.7,6.3,19,40,1,0,0,0.5,1,3,1,25.0%
Elijah Riley,NYJ,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,0,0,0,0.0,0,10,1,9.1%
Bryce Hall,NYJ,0,2,1,50.0%,6,6.0,3.0,0,56.2,9.0,5,1,0,0,0,0.0,0,3,1,25.0%
Tim Ward,NYJ,0,1,1,100.0%,19,19.0,19.0,0,118.7,-4.0,-4,23,0,0,0,0.0,0,2,0,0.0%
Javelin Guidry,NYJ,0,3,1,33.3%,6,6.0,2.0,0,42.4,5.3,6,0,2,0,0,0.0,0,4,0,0.0%
Brandin Echols,NYJ,0,1,1,100.0%,21,21.0,21.0,0,118.7,8.0,8,13,1,0,0,0.0,0,4,1,20.0%
Kyle Phillips,NYJ,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,1,25.0%
Shaq Lawson,NYJ,0,1,0,0.0%,,,0.0,,39.6,-5.0,,,0,0,0,0.5,1,3,0,0.0%
Quinnen Williams,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,3,0,0.0%
Sharrod Neasman,NYJ,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Jarrad Davis,NYJ,0,0,0,,,,,,,,,,0,0,0,0.0,0,4,1,20.0%
