Quarter,Time,Tm,Detail,WAS,DET
1.0,8:06,Lions,Austin Seibert 35 yard field goal,0,3
,3:17,Lions,"Safety, Carson Wentz sacked in end zone by Charles Harris",0,5
,1:40,Lions,Amon-Ra St. Brown 13 yard pass from Jared Goff (Austin Seibert kick),0,12
2.0,13:47,Lions,Austin Seibert 48 yard field goal,0,15
,6:43,Lions,Josh Reynolds 3 yard pass from Jared Goff (Austin Seibert kick),0,22
3.0,12:58,Commanders,Curtis Samuel 15 yard pass from Carson Wentz (Joey Slye kick),7,22
,2:58,Commanders,Logan Thomas 20 yard pass from Carson Wentz (Jahan Dotson pass from Carson Wentz),15,22
,1:28,Lions,D'Andre Swift 22 yard pass from Jared Goff (Austin Seibert kick),15,29
4.0,10:39,Commanders,Antonio Gibson 1 yard rush (pass failed),21,29
,7:00,Lions,Amon-Ra St. Brown 11 yard pass from Jared Goff (Austin Seibert kick),21,36
,1:56,Commanders,Jahan Dotson 1 yard pass from Carson Wentz (Joey Slye kick failed),27,36
