Quarter,Time,Tm,Detail,NYJ,SDG
1.0,11:27,Jets,David Barrett 25 yard interception return (Jay Feely kick),7,0
,5:40,Chargers,Nate Kaeding 36 yard field goal,7,3
,2:03,Chargers,Mike Tolbert 1 yard pass from Philip Rivers (Nate Kaeding kick),7,10
2.0,14:48,Chargers,Antonio Cromartie 52 yard interception return (Nate Kaeding kick),7,17
,13:50,Jets,Laveranues Coles 3 yard pass from Brett Favre (Jay Feely kick),14,17
,11:17,Chargers,Chris Chambers 27 yard pass from Philip Rivers (Nate Kaeding kick),14,24
,3:17,Chargers,Antonio Gates 6 yard pass from Philip Rivers (Nate Kaeding kick),14,31
3.0,10:36,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),14,38
4.0,10:30,Jets,Chansi Stuckey 4 yard pass from Brett Favre (run failed),20,38
,8:21,Jets,Jay Feely 32 yard field goal,23,38
,3:55,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),23,45
,3:09,Jets,Dustin Keller 13 yard pass from Brett Favre (pass failed),29,45
,2:03,Chargers,Nate Kaeding 49 yard field goal,29,48
