Quarter,Time,Tm,Detail,WAS,NOR
1.0,10:41,Saints,Mark Ingram 2 yard rush (Wil Lutz kick failed),0,6
,2:37,Redskins,Dustin Hopkins 37 yard field goal,3,6
2.0,10:38,Saints,Josh Hill 1 yard pass from Drew Brees (Wil Lutz kick),3,13
,8:36,Redskins,Dustin Hopkins 53 yard field goal,6,13
,3:43,Saints,Mark Ingram 1 yard rush (Wil Lutz kick),6,20
,2:36,Saints,Tre'Quan Smith 62 yard pass from Drew Brees (run failed),6,26
,0:26,Redskins,Alex Smith 4 yard rush (Dustin Hopkins kick),13,26
3.0,12:23,Saints,Tre'Quan Smith 35 yard pass from Drew Brees (Wil Lutz kick),13,33
,6:43,Saints,Taysom Hill 1 yard rush (Wil Lutz kick),13,40
4.0,14:10,Saints,Wil Lutz 44 yard field goal,13,43
,10:25,Redskins,Kapri Bibbs 1 yard rush (pass failed),19,43
