Quarter,Time,Tm,Detail,BAL,NOR
1.0,8:13,Ravens,Steve Smith Sr. 15 yard pass from Joe Flacco (Justin Tucker kick),7,0
,3:20,Saints,Jimmy Graham 10 yard pass from Drew Brees (Shayne Graham kick),7,7
2.0,9:08,Ravens,Justin Forsett 13 yard rush (Justin Tucker kick),14,7
,4:00,Saints,Shayne Graham 20 yard field goal,14,10
,0:17,Saints,Marques Colston 26 yard pass from Drew Brees (Shayne Graham kick),14,17
3.0,8:30,Ravens,Justin Tucker 31 yard field goal,17,17
,4:59,Ravens,Will Hill 44 yard interception return (Justin Tucker kick),24,17
4.0,10:59,Ravens,Justin Tucker 55 yard field goal,27,17
,6:33,Saints,Shayne Graham 34 yard field goal,27,20
,2:53,Ravens,Justin Forsett 20 yard rush (Justin Tucker kick),34,20
,0:40,Saints,Jimmy Graham 2 yard pass from Drew Brees (Shayne Graham kick),34,27
