Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Brandin Cooks,HOU,7,5,47,0,2,38,7.6,9,1.8,13.0,0,,0,0.0,1,50.0
David Johnson,HOU,4,3,27,0,2,7,2.3,20,6.7,1.3,0,,0,0.0,0,92.7
Jordan Akins,HOU,1,1,4,0,0,5,5.0,-1,-1.0,5.0,0,,0,0.0,0,83.3
Pharaoh Brown,HOU,2,1,6,0,,5,5.0,1,1.0,4.5,0,,0,0.0,1,16.7
Anthony Miller,HOU,5,1,3,0,,-2,-2.0,5,5.0,9.2,0,,0,0.0,2,0.0
Chris Conley,HOU,1,0,0,0,,0,,0,,19.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Stefon Diggs,BUF,11,7,114,0,4,100,14.3,14,2.0,12.5,1,7.0,0,0.0,1,60.4
Dawson Knox,BUF,8,5,37,2,2,9,1.8,28,5.6,5.1,0,,0,0.0,0,113.0
Emmanuel Sanders,BUF,6,5,74,0,4,69,13.8,5,1.0,13.2,0,,0,0.0,0,118.1
Cole Beasley,BUF,2,2,16,0,1,3,1.5,13,6.5,1.5,0,,0,0.0,0,100.0
Reggie Gilliam,BUF,1,1,8,0,,2,2.0,6,6.0,2.0,0,,0,0.0,0,100.0
Devin Singletary,BUF,1,1,7,0,1,0,0.0,7,7.0,0.0,1,1.0,0,0.0,0,95.8
Gabriel Davis,BUF,1,0,0,0,,0,,0,,7.0,0,,0,0.0,0,39.6
Zack Moss,BUF,1,0,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6
